iter	MultiClass
174	0.5584218267
175	0.5583379225
176	0.5580702192
177	0.5579276632
178	0.5578338246
179	0.5575781027
180	0.5574533178
181	0.5572882648
182	0.5571673689
183	0.5569513982
184	0.5567624383
185	0.5566464956
186	0.5564512184
187	0.5563244199
188	0.5562485858
189	0.5561502235
190	0.5560309771
191	0.5558208182
192	0.5556482158
193	0.5554743537
194	0.5552732538
195	0.5551673914
196	0.5549676582
197	0.5547008237
198	0.5545005269
199	0.5544272214
200	0.5543102176
201	0.5541241808
202	0.5538320927
203	0.5536628993
204	0.5535143339
205	0.5533632643
206	0.5532105088
207	0.5531410983
208	0.553025989
209	0.5529313831
210	0.5527655995
211	0.5526090702
212	0.5524038621
213	0.5522836371
214	0.5521955961
215	0.5521349798
216	0.5519312324
217	0.5517546429
218	0.5516285941
219	0.5515039825
220	0.5513502564
221	0.55119781
222	0.5510598831
223	0.5509753172
224	0.5507704618
225	0.5506234511
226	0.5505831869
227	0.5504127394
228	0.5501235485
229	0.5500161531
230	0.5498925767
231	0.5498007172
232	0.5496319408
233	0.5494744068
234	0.5494079659
235	0.549327487
236	0.5491641528
237	0.5490681432
238	0.5489518388
239	0.5488700853
240	0.5487970565
241	0.5486398685
242	0.548533377
243	0.5484199987
244	0.5483262226
245	0.5481941041
246	0.5481016299
247	0.5479761894
248	0.5476594688
249	0.5475472551
250	0.5474201698
251	0.547346763
252	0.5472030777
253	0.5471223918
254	0.5468927749
255	0.5467793873
256	0.5466374445
257	0.5465178178
258	0.5464080227
259	0.5463072037
260	0.5461677648
261	0.5460868349
262	0.5460394096
263	0.5458879246
264	0.5458100487
265	0.5457000671
266	0.5456400473
267	0.5454289942
268	0.5453418619
269	0.5452356117
270	0.5451105673
271	0.5450618966
272	0.5448971753
273	0.5448214474
274	0.5446880854
275	0.5446028436
276	0.544490512
277	0.5444325801
278	0.5442244027
279	0.5441475896
280	0.5440513003
281	0.5438633382
282	0.5437558327
283	0.5436280596
284	0.543387447
285	0.5432894833
286	0.5432078204
287	0.5430517797
288	0.5428743756
289	0.5427924163
290	0.5426574364
291	0.5425525412
292	0.5424718384
293	0.5423015126
294	0.5422313485
295	0.5421332085
296	0.5420324776
297	0.5419520559
298	0.5418528547
299	0.5417877088
300	0.5416274704
301	0.5415282905
302	0.5414766508
303	0.5414058892
304	0.5413156492
305	0.5412654566
306	0.5411248328
307	0.5410353818
308	0.5409114407
309	0.5408059609
310	0.5407354174
311	0.5406622123
312	0.5404567534
313	0.5403900033
314	0.5402735917
315	0.5402001511
316	0.5401124188
317	0.5400325316
318	0.5399298144
319	0.5398242476
320	0.5397645674
321	0.5396830311
322	0.539598465
323	0.5395251926
324	0.5394391301
325	0.5393497129
326	0.539255745
327	0.5391627322
328	0.5390948005
329	0.5390562635
330	0.5389253562
331	0.5388933063
332	0.5388591001
333	0.5388233895
334	0.5387242434
335	0.5386899783
336	0.5386394485
337	0.5385610051
338	0.5384561043
339	0.5383872942
340	0.5383513013
341	0.5382710915
342	0.5382300129
343	0.5381719016
344	0.5380897857
345	0.5380591356
346	0.5380157958
347	0.5379307571
348	0.5378640458
349	0.5377543748
350	0.5376634932
351	0.5375740254
352	0.5374391949
353	0.5373309729
354	0.5372528508
355	0.537160449
356	0.5371030264
357	0.5370118408
358	0.5369542485
359	0.5369018238
360	0.5368227755
361	0.5367493396
362	0.5366847672
363	0.5366161601
364	0.5364671696
365	0.5363909011
366	0.5362334082
367	0.5360827088
368	0.535993495
369	0.5359492254
370	0.5358713695
371	0.5357896587
372	0.5357162736
373	0.5356565205
374	0.5356002215
375	0.5355542263
376	0.5354507561
377	0.5353880368
378	0.5353400019
379	0.5352748567
380	0.5351868655
381	0.5351090647
382	0.5350330151
383	0.5349928647
384	0.5349093018
385	0.5348071867
386	0.5347340417
387	0.534670219
388	0.534592702
389	0.5344942672
390	0.5344207777
391	0.5343379323
392	0.5342791297
393	0.5341430193
394	0.5340627074
395	0.5340139583
396	0.5339525004
397	0.5338738894
398	0.5337241044
399	0.5336761932
400	0.5336102843
401	0.5335072605
402	0.5334368275
403	0.5333450556
404	0.5332576053
405	0.5332113417
406	0.5330770388
407	0.5330243263
408	0.5329312044
409	0.532839187
410	0.5327911939
411	0.5326955031
412	0.5326550959
413	0.5326153205
414	0.5325409281
415	0.5324254284
416	0.5323541385
417	0.5323006117
418	0.5322389749
419	0.5321863367
420	0.5320574114
421	0.5319973061
422	0.5319240989
423	0.5318576377
424	0.5318190271
425	0.5317582421
426	0.531624625
427	0.5315773142
428	0.5314800364
429	0.5313969122
430	0.5313441699
431	0.5313100485
432	0.5312396514
433	0.5311818901
434	0.5311340744
435	0.5311000447
436	0.5310556422
437	0.5309466688
438	0.5308381239
439	0.5307968385
440	0.5307080448
441	0.5306430164
442	0.5305852214
443	0.5305235139
444	0.5304785739
445	0.5304224532
446	0.530354569
447	0.5303005291
448	0.5301832878
449	0.5301424401
450	0.5301022598
451	0.5300308376
452	0.5299618364
453	0.5298976652
454	0.5298214588
455	0.5297344038
456	0.5296395064
457	0.5295719822
458	0.5295344333
459	0.5294900139
460	0.5293970776
461	0.5293256061
462	0.5292718111
463	0.5292205183
464	0.5291640679
465	0.5291024286
466	0.5290497354
467	0.5290000209
468	0.5289599407
469	0.5289011241
470	0.5288729101
471	0.5288236848
472	0.5287569796
473	0.5287264795
474	0.5286519705
475	0.5285542439
476	0.5284758196
477	0.5284385663
478	0.5283624866
479	0.5283173612
480	0.5282386141
481	0.5281549279
482	0.5280887439
483	0.5280198348
484	0.5279163711
485	0.527888858
486	0.5278290045
487	0.5277647722
488	0.5277189291
489	0.5276363693
490	0.5275782437
491	0.5275117107
492	0.5274074944
493	0.5272982854
494	0.527200078
495	0.5271270513
496	0.5271031835
497	0.5270386616
498	0.5269821413
499	0.5268991636
