iter	MultiClass
0	1.063564143
1	1.032057556
2	1.003448736
3	0.9772329536
4	0.9534015134
5	0.9315285792
6	0.910882645
7	0.8918804946
8	0.8741831032
9	0.8578726942
10	0.8427860199
11	0.8283261945
12	0.8152045496
13	0.8027537721
14	0.7912897778
15	0.7805094485
16	0.770393473
17	0.7606748979
18	0.7510972463
19	0.7426760696
20	0.7347798793
21	0.7271828597
22	0.7195806805
23	0.7126285936
24	0.7060556922
25	0.699885237
26	0.6940041422
27	0.6884572485
28	0.6832817286
29	0.6783957418
30	0.6738270557
31	0.6692927341
32	0.6649845441
33	0.6608942601
34	0.6570918846
35	0.6534854619
36	0.6500023668
37	0.6467995879
38	0.6434829837
39	0.6405062599
40	0.6375978325
41	0.6348985069
42	0.6321626219
43	0.6296398674
44	0.6273407527
45	0.6250705783
46	0.6227885164
47	0.6206419907
48	0.6187419193
49	0.6168681315
50	0.6149450354
51	0.6132232578
52	0.6115830859
53	0.6099074936
54	0.6083298636
55	0.6068808255
56	0.6053913815
57	0.6040937428
58	0.6028337928
59	0.6016437905
60	0.6010490495
61	0.5998943767
62	0.5987962271
63	0.5982765356
64	0.5971164356
65	0.5959998205
66	0.5950895616
67	0.5942255651
68	0.5933579929
69	0.5925268657
70	0.5917132844
71	0.5907904704
72	0.5899062393
73	0.5895473833
74	0.5886736903
75	0.5879217571
76	0.5872663125
77	0.5864960995
78	0.5861676569
79	0.585527073
80	0.5849222514
81	0.5842786519
82	0.5837084124
83	0.5831196037
84	0.5825452052
85	0.5820792999
86	0.5815731107
87	0.5810678626
88	0.5806104602
89	0.5801347282
90	0.5796865657
91	0.5791955205
92	0.5788109043
93	0.57843531
94	0.5781280344
95	0.5776398503
96	0.5772720734
97	0.5769454308
98	0.5766285654
99	0.5763197385
100	0.5759482039
101	0.5756894991
102	0.5753623841
103	0.5748231158
104	0.5745673166
105	0.574171385
106	0.5739324433
107	0.5736569746
108	0.5734413768
109	0.5731229102
110	0.572852343
111	0.5726401796
112	0.5724118739
113	0.5722263531
114	0.5718608302
115	0.5716843929
116	0.5715077538
117	0.5711349665
118	0.5708325725
119	0.5706405462
120	0.5702379194
121	0.5700122062
122	0.5698560079
123	0.5697078772
124	0.569449159
125	0.5688969548
126	0.5687651604
127	0.5685608378
128	0.5683224659
129	0.5682041514
130	0.5680156599
131	0.567831255
132	0.5676429734
133	0.5674700678
134	0.566942802
135	0.5668118514
136	0.5664499212
137	0.5660866758
138	0.5659555075
139	0.5657973714
140	0.5656263101
141	0.5653963936
142	0.565039149
143	0.5647607606
144	0.5644677411
145	0.5643119643
146	0.564121994
147	0.5639168939
148	0.563695947
149	0.5633765335
150	0.5630937055
151	0.5629919694
152	0.5629122276
153	0.5627335694
154	0.5625018033
155	0.5623953817
156	0.5620815706
157	0.561850108
158	0.5616795418
159	0.561213376
160	0.5609600331
161	0.5608030937
162	0.5606101142
163	0.560461915
164	0.5602322445
165	0.5601037085
166	0.5599465285
167	0.5597175454
168	0.5596337761
169	0.5593983136
170	0.5590776644
171	0.5589997585
172	0.5588090717
173	0.5585627076
